"title";"alias";"introtext";"catid";"created";"published";"featured"
"Что ждёт болельщиков перед Динамовским дерби в Бресте 10 мая?";"chto-zhdjot-bolelshchikov-pered-dinamovskim-derbi-v-breste-10-maya";"<p>Что ждёт болельщиков перед Динамовским дерби в Бресте 10 мая?</p>
";"11";"2026-05-08 13:00:57";"1";"1"
"Определилось расписание всех матчей «Динамо-Брест» в мае";"opredelilos-raspisanie-vsekh-matchej-dinamo-brest-v-mae";"<p>Определилось расписание всех матчей «Динамо-Брест» в мае</p>
";"15";"2026-05-08 12:38:17";"1";"1"
"«Динамо-Брест» помнит: возложение цветов в честь Дня Победы";"dinamo-brest-pomnit-vozlozhenie-tsvetov-v-chest-dnya-pobedy";"<p>«Динамо-Брест» помнит: возложение цветов в честь Дня Победы</p>
";"1";"2026-05-07 12:25:57";"1";"1"
"Анонс: женская команда «Динамо-Брест» стартует в Кубке Беларуси-2026";"anons-zhenskaya-komanda-dinamo-brest-startuet-v-kubke-belarusi-2026";"<p>Анонс: женская команда «Динамо-Брест» стартует в Кубке Беларуси-2026</p>
";"23";"2026-05-07 12:22:39";"1";"0"
"Анонс: «Динамо-Брест-2» попытается продлить победную серию в матче с «Барановичами-2»";"anons-dinamo-brest-2-popytaetsya-prodlit-pobednuyu-seriyu-v-matche-s-baranovichami-2";"<p>Анонс: «Динамо-Брест-2» попытается продлить победную серию в матче с «Барановичами-2»</p>
";"6";"2026-05-06 11:57:59";"1";"0"
"Школа «Динамо-Брест» готова ответить на все ваши вопросы";"shkola-dinamo-brest-gotova-otvetit-na-vse-vashi-voprosy";"<p>Школа «Динамо-Брест» готова ответить на все ваши вопросы</p>
";"14";"2026-05-05 12:50:14";"1";"1"
"Всем классом на Динамовское дерби 10 мая!";"vsem-klassom-na-dinamovskoe-derbi-10-maya";"<p>Всем классом на Динамовское дерби 10 мая!</p>
";"11";"2026-05-05 09:06:05";"1";"0"
"«Динамо-Брест» приблизился к рекорду по «сухим» матчам в высшей лиге";"dinamo-brest-priblizilsya-k-rekordu-po-sukhim-matcham-v-vysshej-lige";"<p>«Динамо-Брест» приблизился к рекорду по «сухим» матчам в высшей лиге</p>
";"15";"2026-05-04 09:00:14";"1";"1"
"Лаврик включён в символическую сборную шестого тура высшей лиги";"lavrik-vklyuchjon-v-simvolicheskuyu-sbornuyu-shestogo-tura-vysshej-ligi";"<p>Лаврик включён в символическую сборную шестого тура высшей лиги</p>
";"15";"2026-05-04 16:51:15";"1";"0"
"Бутаревич – о матче с БАТЭ, Белове и ожиданиях от Динамовского дерби";"butarevich-o-matche-s-bate-belove-i-ozhidaniyakh-ot-dinamovskogo-derbi";"<p>Бутаревич – о матче с БАТЭ, Белове и ожиданиях от Динамовского дерби</p>
";"16";"2026-05-04 10:42:03";"1";"0"
"Павловец – о победе над БАТЭ, травме Белова и Динамовском дерби в Бресте";"pavlovets-o-pobede-nad-bate-travme-belova-i-dinamovskom-derbi-v-breste";"<p>Павловец – о победе над БАТЭ, травме Белова и Динамовском дерби в Бресте</p>
";"16";"2026-05-04 09:51:18";"1";"0"
"Белов выбыл на длительный срок из-за травмы";"belov-vybyl-na-dlitelnyj-srok-iz-za-travmy";"<p>Белов выбыл на длительный срок из-за травмы</p>
";"20";"2026-05-03 13:48:00";"1";"1"
"Первое поражение женской команды «Динамо-Брест» в сезоне-2026";"pervoe-porazhenie-zhenskoj-komandy-dinamo-brest-v-sezone-2026";"<p>Первое поражение женской команды «Динамо-Брест» в сезоне-2026</p>
";"23";"2026-05-03 18:38:17";"1";"1"
"Три гола и три очка в Борисове: БАТЭ 0:3 «Динамо-Брест»";"tri-gola-i-tri-ochka-v-borisove-bate-0-3-dinamo-brest";"<p>Три гола и три очка в Борисове: БАТЭ 0:3 «Динамо-Брест»</p>
";"15";"2026-05-03 19:08:00";"1";"1"
"Хет-трик Бенковского вывел «Динамо-Брест-2» в группу лидеров второй лиги";"khet-trik-benkovskogo-vyvel-dinamo-brest-2-v-gruppu-liderov-vtoroj-ligi";"<p>Хет-трик Бенковского вывел «Динамо-Брест-2» в группу лидеров второй лиги</p>
";"6";"2026-05-02 15:48:40";"1";"0"
"Прямая трансляция матча БАТЭ – «Динамо-Брест» 3 мая";"pryamaya-translyatsiya-matcha-bate-dinamo-brest-3-maya";"<p>Прямая трансляция матча БАТЭ – «Динамо-Брест» 3 мая</p>
";"15";"2026-05-03 05:28:18";"1";"0"
"Что ждёт участников отбора детей в школу «Динамо-Брест» 16 мая?";"chto-zhdjot-uchastnikov-otbora-detej-v-shkolu-dinamo-brest-16-maya";"<p>Что ждёт участников отбора детей в школу «Динамо-Брест» 16 мая?</p>
";"14";"2026-04-28 13:18:53";"1";"1"
"«Динамо-Брест» продолжает лидировать в женской лиге";"dinamo-brest-prodolzhaet-lidirovat-v-zhenskoj-lige";"<p>«Динамо-Брест» продолжает лидировать в женской лиге</p>
";"23";"2026-04-27 19:05:34";"1";"1"
"Определён соперник женской команды в четвертьфинале Кубка Беларуси";"opredeljon-sopernik-zhenskoj-komandy-v-chetvertfinale-kubka-belarusi";"<p>Определён соперник женской команды в четвертьфинале Кубка Беларуси</p>
";"23";"2026-04-27 08:47:45";"1";"0"
"Без голов: «МЛ Витебск» 0:0 «Динамо-Брест»";"bez-golov-ml-vitebsk-0-0-dinamo-brest";"<p>Без голов: «МЛ Витебск» 0:0 «Динамо-Брест»</p>
";"15";"2026-04-25 20:28:42";"1";"1"
